"Artists","Total_Songs","Songs_Played"
"A. Savage",9,1
"Aaron Karpinka",3,0
"Abraxas",2,0
"Ac Sapphire",3,1
"Acid Dad",4,1
"Acid Tongue",5,0
"Acid Tongue & Podsongs",1,0
"Acoqui",3,0
"The Acorn",7,0
"Activity",2,1
"Actor Director",1,1
"Ada Lea",12,4
"Adore",2,0
"Adrianne Lenker",3,1
"Aldous Harding",8,0
"Alex E.T.",1,0
"Alex Maas",3,0
"Alex MacNeil",3,1
"Alice Phoebe Lou",6,0
"Alien Nosejob",10,6
"Alix Fernz",5,4
"Allah-Las",30,4
"The Almighty Defenders",1,0
"Aluminum",1,0
"ALVILDA",3,1
"Alvvays",8,4
"Amery",1,1
"Amos the Kid",4,0
"Amy Millan",1,0
"Ancient Shapes",1,1
"Andrew Bird",4,0
"Andrew Gabbard",2,0
"Andy Shauf",20,3
"Angel Hall",1,1
"Angel Olsen",11,0
"Angie McMahon",1,0
"Anika",6,1
"Animal Collective",3,0
"Anna Burch",3,0
"Anna Haverstock",2,2
"Anna St. Louis",3,1
"Annabelle Chairlegs",2,0
"Annuals",2,0
"Aoife Nessa Frances",3,0
"Apollo Ghosts",9,5
"The Ar-Kaics",5,1
"The Arcs",3,0
"Arthur & Yu",2,0
"Arthur Ahbez",2,1
"Arthur Russell",1,0
"Artificial Go",5,1
"Asher White",6,0
"The Asteroid No.4",11,0
"Astrachan",4,0
"Astrel K",3,1
"Atomic Fruit",2,0
"The Autumn Stones",3,1
"The Avett Brothers",4,0
"Avi Buffalo",1,0
"Axis: Sova",2,0
"Babe Rainbow",15,2
"Babehoven",1,0
"Baby Cool",3,2
"Badge Époque Ensemble",5,1
"Badge Époque Ensemble & James Baley",1,0
"Bahamas",8,0
"Bananagun (Aus)",4,0
"bananahaus",3,2
"Band Of Horses",6,0
"bar italia",4,0
"The Barr Brothers",4,0
"Bart",6,2
"Bart Budwig",1,0
"Basia Bulat",9,0
"BASIC",1,0
"The BB Guns",4,3
"BBQ Pope",6,3
"Beach Body",5,2
"Beach House",4,1
"Beans",4,1
"Bears in Hazenmore",1,0
"The Beets",2,2
"Being Dead",4,2
"Beings",1,0
"Belle & Sebastian",2,0
"Bells Larsen",3,1
"Ben Seretan",3,2
"Bent Arcana",1,0
"The Besnard Lakes",6,3
"Bess Atwell",6,2
"Big Bill",16,2
"Big Evil Rat",2,2
"Big Rig",1,1
"Bill Callahan",1,0
"Bill Ricky",2,0
"Billy Strings",1,0
"Bingo Fury",2,1
"BITTER//WASHED",5,3
"Black Country, New Road",1,0
"Black Market Karma",9,0
"Black Mountain",10,3
"Black Thunder",2,2
"Blackwater Holylight",2,1
"The Blank Tapes",12,0
"The Blaze Velluto Collection",4,2
"Bleached",9,1
"blind commentary",1,1
"Blind Pilot",9,0
"Blitzen Trapper",14,0
"Blood Wizard",3,1
"Bloomsday",2,0
"Blue Zero",6,0
"Blume",6,5
"Blunt Chunks",2,1
"Bnny",5,1
"BODEGA",3,1
"Boeckner",4,2
"Bonnie ""Prince"" Billy",3,0
"Bonnie Trash",3,1
"Bonny Light Horseman",5,1
"Boogarins",9,1
"The Boojums",1,0
"Bored Décor",4,3
"Both Doors Have Tigers",1,0
"Bouquet",1,0
"Boy Golden",5,1
"BRAIDS",18,4
"Brainstory",5,0
"Brainwasher",1,0
"Breanna Barbara",4,2
"Breathe Owl Breathe",1,0
"Bria Salmena",3,2
"Brian Cuddy",8,6
"Brian D'Addario",2,0
"Brigid Dawson and The Mothers Network",2,1
"Brigid Mae Power",1,1
"Brijean",2,0
"Brown Horse",3,0
"Brown Spirits",7,1
"Buddy Wynkoop",3,0
"Buffalo Electric",17,4
"The Bug Club",9,2
"Bug Teeth",1,0
"Bully",2,2
"Bully & Soccer Mommy",1,0
"The Bures Band",2,0
"Burrow",1,1
"Buxton",1,0
"C Turtle",4,1
"C.Y.M.",1,1
"Caleb Landry Jones",5,2
"Calexico & Iron & Wine",1,0
"Call off the Gods",1,0
"Cameron Brown",8,3
"Cameron Winter",1,1
"Candace",1,0
"Cardinals",2,0
"Caribou",4,3
"Carson McHone",2,1
"Casper Skulls",6,3
"Cass McCombs",1,0
"Cassandra Jenkins",2,0
"CASTLEBEAT",3,0
"Cat Clyde",3,0
"Cate Le Bon",2,1
"Causa Sui",2,1
"Caveman & The Banshee",4,3
"Cayucas",4,0
"Celia's Dream",3,3
"Ceramic Animal",6,1
"CFM",1,0
"Chad VanGaalen",7,1
"Chains Of Love",8,7
"Charles Moothart",6,1
"Charlsey Miller",1,1
"Chastity Belt",5,2
"CHEAP-SKATE",3,1
"CHIME OBLIVION",4,1
"Chimers",1,0
"Chinese American Bear",4,0
"Chinless Wonder",1,0
"Chris Staples",7,0
"Christopher Owens",1,0
"Christopher Sleightholm",5,1
"Cindy Lee",7,2
"cistern",2,0
"Clem Snide & Eef Barzelay",2,0
"Clinic Stars",2,0
"Clutter",4,0
"Coco",1,1
"Coconut Coolouts",1,0
"Cola",7,7
"Colliding Canyons",2,2
"Color Green",8,3
"Computer",3,1
"Connie Cunningham and the Creeps",4,1
"Constant Smiles",14,3
"Cool Ghouls",10,2
"The Cool Greenhouse",1,0
"Coral Grief",3,0
"Corridor",16,5
"Cory Hanson",12,2
"Cotton Jones",5,0
"Courtney Barnett",16,0
"The Cowboys",5,0
"Cruise Control",3,0
"Crumb",10,2
"Crystal Eyes",5,1
"CTMF",2,1
"Cubzoa",1,0
"Cut Worms",26,2
"DAIISTAR",6,4
"Damaged Bug",7,1
"Damien Jurado",17,0
"Dana Gavanski",7,1
"Dancer",4,2
"The Dandelion",2,0
"Daniel Romano",5,3
"Daniel Romano & The Outfit",4,3
"Daniel Rossen",3,0
"Daniel, Fred & Julie",1,0
"Daughter of Swords",3,0
"David Vandervelde",3,0
"Dawes",6,0
"Dead Fibres",4,4
"Dead Finks",1,0
"Dead Ghosts",15,11
"Dead Meadow",3,1
"Dead Soft",1,0
"deary",3,3
"Death And Vanilla",3,0
"The Definitelays",7,2
"Dehd",10,2
"Del Barber",4,0
"Delicate Steve",1,0
"Delivery",5,1
"Delta Spirit",13,0
"Demon's Claws",13,8
"Dent May",2,0
"Department Of Eagles",3,0
"Deradoorian",9,3
"Des Demonas",4,2
"Destroyer",2,2
"Destry",7,0
"Detangler",1,0
"Diamond Day",3,1
"Dilly Dally",1,1
"Dinosaur Feathers",5,0
"Dion Lunadon",6,1
"Dirt Dress",3,0
"Dirty Ribbons",1,1
"The Districts",5,0
"The Dodos",12,0
"Dom Sensitive",3,0
"Donna Blue",9,4
"DOOM GONG",9,4
"Dopey's Robe",2,2
"Dorothea Paas",4,1
"Doug Tuttle",6,0
"Dr. Dog",39,1
"Dream Sitch, Michael Nau & Floating Action",3,0
"The Drin",8,2
"Drinks",2,1
"Drugdealer",7,0
"Drugdealer & Weyes Blood",1,0
"Dry Cleaning",1,0
"DTSQ",4,1
"Ducks Ltd.",8,2
"Dum Dum Girls",2,0
"Dumb",9,5
"Dumbo Gets Mad",10,0
"Dummy",4,0
"Dump Babes",6,1
"The Dutchess & the Duke",1,0
"Düül Suns",3,0
"Eades",6,0
"The Early Mornings",2,1
"Eat Skull",2,0
"The Echocentrics & Adrian Quesada",4,1
"Ekko Astral",3,1
"Electric Eye",1,1
"The Electric Peanut Butter Company",3,1
"Elephant Stone",10,6
"Eliza Niemi",4,3
"ELLiS·D",7,3
"EMZYG",5,1
"En Attendant Ana",2,0
"Energy Slime",9,3
"Ever-Lovin' Jug Band",2,0
"Exit Group",1,0
"The Explorers Club",3,0
"Ezra Furman",19,2
"EZTV",5,0
"FACS",1,1
"Faith Healer",6,3
"Fake Fruit",3,2
"Fake Palms",6,4
"fantasy of a broken heart",3,1
"fantasy of a broken heart & Current Joys",1,0
"Fast Kids",2,0
"Father John Misty",30,0
"Faux Ferocious",6,2
"Fazerdaze",4,0
"Feeling Figures",6,4
"FELL",4,0
"First Aid Kit",3,1
"Fiver",1,0
"FLEECE",5,0
"Fleet Foxes",14,1
"Floating Action",7,1
"Floral Image",9,1
"Florence + the Machine",1,0
"Florist",11,0
"Flypaper",4,0
"Fold Paper",2,2
"Föllakzoid",3,1
"Fomies",10,0
"Former Champ",4,0
"Fotoform",2,0
"Foxwarren",3,1
"Foxwarren, Andy Shauf & Darryl Kissick",4,0
"Foyer Red",3,0
"Frances Chang",1,0
"Francis of Delirium",6,4
"Franco Rossino",2,0
"Frankie & The Witch Fingers",27,10
"Frankie and the Witch Fingers",1,0
"Frankie Cosmos",2,0
"Frankie Cosmos & Good Morning",1,0
"FRANKIIE",6,4
"The Franky Tones",4,4
"Freckle",2,0
"French Cassettes",1,0
"The Fresh & Onlys",2,1
"Friko",5,3
"Frog Eyes",6,2
"Froth",1,1
"Fruit Bats",25,1
"Full Flower Moon Band & Gustaf",1,0
"Full Power Happy Hour",3,1
"Funeral Lakes",5,0
"Fungi Girls",1,1
"Fuzz",2,2
"Garbo's Daughter",1,1
"Garrett T. Capps",10,4
"The Garrys",6,3
"Gaspard Eden",5,1
"Generationals",3,2
"The Get Alongs",4,2
"Ghost Funk Orchestra",2,0
"Ghost Plains",3,1
"Ghostkeeper",14,7
"GHOSTWOMAN",14,10
"GIFT",4,1
"Girl and Girl",7,2
"Girl Scout",1,0
"GIVERS",1,0
"Gloin",4,3
"Glyders",6,0
"Goat",18,2
