"Artists","Name","Album","Show","Grouping","Year","Comments"
"Alvvays","Pharmacist","Blue Rev","_001","I/III_001, Fem, Canadian, DJ, Evening, GEHam_Zero",2022,"Toronto Ontario, Transgressive Records & Polyvinyl"
"The Besnard Lakes","Raindrops","The Besnard Lakes Are the Last of the Great Thunderstorm Warnings","_001","I/III_001, Canadian, DJ, Night",2020,NA
"Bnny","Take That Back","Everything","_001","I/III_001, Fem, Rain, Hits, DJ, Afternoon, Evening",2021,NA
"Cola","Degree","Deep in View","_001","I/III_001, Canadian, DJ, Afternoon, Evening, GEHam_One",2022,NA
"Crumb","Nina","Jinx","_001","I/III_001, Rain, DJ, Evening, Night, GEHam_One",2019,NA
"DAIISTAR","Star Starter","Good Time","_001","I/III_001, Hits, Drum, DJ, Evening, Night, Ignore",2023,NA
"Fake Palms","Satellite","Lemons","_001","I/III_001, Hits, Canadian, DJ, Evening, Night, GEHam_One",2022,NA
"The Fresh & Onlys","20 Days and 20 Nights","Long Slow Dance","_001","I/III_001, DJ, Evening, Night, Hits, GEHam_One",2012,NA
"Lotus Plaza","Strangers","Spooky Action At A Distance","_001","I/III_001, DJ, Afternoon, Evening, Night, GEHam_Zero",2012,NA
"Motorists","Vainglorious","Surrounded","_001","I/III_001, Canadian, DJ, Afternoon, Evening, GEHam_One",2021,NA
"Pony Girl","Laff It Off","Laff It Off","_001","I/III_001, Canadian, DJ, Evening, CanWav_One",2023,NA
"Porridge Radio","The Rip","Waterslide, Diving Board, Ladder to the Sky","_001","I/III_001, Fem, DJ, Evening",2022,NA
"Status/Non-Status","Gerry","Warrior Down","_001","I/III_001, Hits, Canadian, DJ, Afternoon, Evening, Night",2019,NA
"Wand","White Cat","Plum","_001","I/III_001, Hits, SunnyDees, DJ, Night",2017,NA
"Allah-Las","Better Than Mine","Worship The Sun","_002","I/III_002, Hits, SunnyDees, Folk/Rock, DJ, Afternoon, Evening",2014,"Los Angles California, Innovative Leisure Records"
"Cool Ghouls","Look In Your Mirror","At George's Zoo","_002","I/III_002, Folk/Rock, Rain, Drum, DJ, Afternoon, Evening",2021,NA
"Daniel Romano","Nocturne Child (feat. The Outfit)","Cobra Poems (feat. The Outfit)","_002","I/III_002, Hits, Folk/Rock, Canadian, DJ, Evening, Drum, GEHam_Two",2021,NA
"Dr. Dog","Hang On","Fate","_002","I/III_002, Hits, Folk/Rock, DJ, Evening, Pump",2008,NA
"Hayden","Let's Break Up","The Place Where We Lived","_002","I/III_002, Hits, Folk/Rock, Canadian, DJ, Afternoon, Evening, Drum, Pump, Ignore",2009,NA
"Jason Collett","These Are the Days","Idols of Exile","_002","I/III_002, Folk/Rock, Canadian, Rain, DJ, Afternoon",2005,NA
"Kacy & Clayton","A Certain Kind Of Memory","The Siren's Song","_002","I/III_002, Folk/Rock, Canadian, Rain, Fem, DJ, Afternoon, GEHam_Two",2017,NA
"One Hundred Dollars","Waiting On Another","Songs Of Man","_002","I/III_002, Folk/Rock, Canadian, Fem, DJ, Evening, Rain, Hits",2011,NA
"Sera Cahoone","Every Little Word","Deer Creek Canyon","_002","I/III_002, Folk/Rock, Fem, Rain, Hits, DJ, Afternoon",2012,NA
"Shirley Hurt","Problem Child","Shirley Hurt","_002","I/III_002, Canadian, Fem, Folk/Rock, Rain, DJ, Afternoon, GEHam_One",2022,NA
"Silver Synthetic","Out of the Darkness","Silver Synthetic","_002","I/III_002, Hits, Folk/Rock, DJ, Evening, Night, GEHam_Two,",2020,NA
"Slow Leaves","American Band","Meantime","_002","I/III_002, Canadian, Folk/Rock, DJ, Afternoon, Evening, GEHam_Two",2023,NA
"Vetiver","Another Reason to Go","Tight Knit","_002","I/III_002, Folk/Rock, DJ, Afternoon, Evening",2009,NA
"Alien Nosejob","Ariel View","The Derivative Sounds of... OR... A Dog Always Returns to its Vomit","_003","I/III_003, Hits, DJ, Evening",2023,"Victoria Australia, Anti Fade Records & Goner Records"
"Buffalo Electric","Northern Sky","Snake Oil Remedies","_003","I/III_003, SunnyDees, Rain, DJ, Afternoon, Evening, Drum",2013,NA
"Chains Of Love","You Got It","Chains Of Love","_003","I/III_003, Hits, SunnyDees, Canadian, Fem, DJ, Evening",2011,NA
"Dead Ghosts","Can't Get No","Can't Get No","_003","I/III_003, SunnyDees, Canadian, Dj, Evening, Night, Ignore",2013,NA
"Demon's Claws","Trip to the Clinic","The Defrosting Of","_003","I/III_003, Canadian, DJ, Evening",2010,NA
"The Get Alongs","Rain Magnificent","Weather Permitting","_003","I/III_003, Canadian, DJ, Evening",2022,NA
"Heaters","Memorial","Solstice","_003","I/III_003, Hits, SunnyDees, DJ, Night",2014,NA
"Hinds","SAN DIEGO","Leave Me Alone","_003","I/III_003, Hits, SunnyDees, Fem, DJ, Evening, Night",2016,NA
"Hot Garbage","X-Ray","RIDE","_003","I/III_003, Canadian, DJ, Afternoon, CanWav_Two",2021,NA
"Los Palms","I Don't Wanna Be Cool","Skeleton Ranch","_003","I/III_003, Hits, DJ, Evening, Drum, Pump",2022,NA
"Pow Wow's","You Haven't Got Me Yet","Broken Curses","_003","I/III_003, Hits, SunnyDees, Canadian, DJ, Evening, Night, Drum, Ignore, CanWav_Two",2015,NA
"SHAKING HANDS","Staring At The Sun","Shaking Hands","_003","I/III_003, Hits, SunnyDees, Canadian, DJ, Evening, Night, CanWav_Two",2014,NA
"Shannon & The Clams","Troublemaker","I Wanna Go Home","_003","I/III_003, Hits, SunnyDees, Fem, DJ, Night, Pump",2009,"1-2-3-4 Go! Records"
"Shimmering Stars","I'm Gonna Try","Violent Hearts","_003","I/III_003, SunnyDees, Canadian, DJ, Evening, Hits",2011,NA
"The Shivas","You Know What To Do","You Know What To Do","_003","I/III_003, Hits, SunnyDees, DJ, Night",2014,NA
"Tijuana Panthers","Boardwalk","Semi Sweet","_003","I/III_003, Hits, SunnyDees, DJ, Evening, Night, Pump",2013,NA
"Tough Age","The Heart of Juliet Jones","Tough Age","_003","I/III_003, Hits, SunnyDees, Canadian, DJ, Evening, Night, CanWav_Two",2013,NA
"Anna Haverstock","Thoughts of Summer","Thoughts of Summer - Single","_004","I/III_004, Fem, Canadian, Hits, Drum, DJ, Afternoon, Evening, Ignore",2023,"Saskatoon Saskatchewan, Self Release"
"The Autumn Stones","Endless War","Escapists","_004","I/III_004, Hits, Canadian, DJ, Evening, Night, GEHam_One",2015,"Toronto Ontario, Self Release"
"Buffalo Electric","Lazy Day Lover","???","_004","I/III_004, Hits, SunnyDees, Rain, DJ, Afternoon, Evening",2018,NA
