Aesthetic_Used,Episode,First_Voted,Last_Voted,Voting_Weeks,Times_Voted
Alt/Indie/Rock,1,7/2/2024,7/2/2024,1,1
Barnburner/Indie/Rock,2,14/02/2024,14/02/2024,1,1
Beach/Garage,3,21/02/2024,21/02/2024,1,1
Indie/Pop/Rock,0,6/3/2024,13/03/2024,2,1
Dream/Rock,0,6/3/2024,6/3/2024,1,1
Indie/Lofi,5,6/3/2024,6/3/2024,1,1
Alt/Barnburner,67,13/03/2024,20/03/2024,2,1
Alt/Punk,6,13/03/2024,13/03/2024,1,1
Post/Rock,0,20/03/2024,27/03/2024,2,1
Indie/Psych,7,20/03/2024,20/03/2024,1,1
Beach/Indie,8,27/03/2024,27/03/2024,1,1
Garage/Pop,9,27/03/2024,3/4/2024,2,1
Alt/Dream,0,3/4/2024,10/4/2024,2,1
Alt/Folk/Rock,57,3/4/2024,3/4/2024,1,1
Indie/Rock,10,10/4/2024,10/4/2024,1,1
Barnburner/Pop,0,10/4/2024,17/04/2024,2,1
Alt/Pop/Rock,0,17/04/2024,8/5/2024,4,1
Post,11,17/04/2024,17/04/2024,1,1
Folk/Indie/Rock,12,24/04/2024,24/04/2024,1,1
Alt/Folk,0,24/04/2024,24/04/2024,1,1
Folk,0,1/5/2024,1/5/2024,1,1
Country,13,1/5/2024,1/5/2024,1,1
Psych/Rock,14,8/5/2024,8/5/2024,1,1
Alt/Indie/Pop,15,8/5/2024,15/05/2024,2,1
Dream/Indie,0,15/05/2024,5/6/2024,4,1
Folk/Pop/Rock,61,15/05/2024,15/05/2024,1,1
Garage,16,22/05/2024,22/05/2024,1,1
Alt/Rock,0,22/05/2024,22/05/2024,1,1
Alt/Pop,0,29/05/2024,29/04/2024,1,1
Beach,17,29/05/2024,29/05/2024,1,1
Barnburner/Indie,0,5/6/2024,12/6/2024,2,1
Folk/Rock,18,5/6/2024,5/6/2024,1,1
Alt/Indie,20,12/6/2024,19/06/2024,2,1
Indie/Pop,19,12/6/2024,12/6/2024,1,1
Folk/Indie,0,19/06/2024,19/06/2024,1,1
Rock,0,19/06/2024,26/06/2024,2,1
Psych,21,26/06/2024,26/06/2024,1,1
Barnburner/Pop/Rock,23,26/06/2024,10/7/2024,3,1
Folk/Pop,0,3/7/2024,3/7/2024,1,1
Dream/Indie/Rock,22,3/7/2024,3/7/2024,1,1
Alt,24,10/7/2024,17/07/2024,2,1
Pop/Rock,0,10/7/2024,10/7/2024,1,1
Alt/Folk/Indie,0,17/07/2024,17/07/2024,1,1
Punk,25,17/07/2024,24/07/2024,2,1
Pop,0,24/07/2024,24/07/2024,1,1
Barnburner/Rock,0,24/07/2024,31/07/2024,2,1
Indie,0,31/07/2024,7/8/2024,2,1
Alt/Garage,26,31/07/2024,31/07/2024,1,1
Dream,28,7/8/2024,14/08/2024,2,1
Americana,27,7/8/2024,7/8/2024,1,1
Barnburner,0,14/08/2024,28/08/2024,3,1
Indie/Post,0,14/08/2024,14/08/2024,1,1
Folk/Indie/Pop,0,21/08/2024,21/08/2024,1,1
Prog,29,21/08/2024,21/08/2024,1,1
Country/Rock,0,28/08/2024,4/9/2024,2,1
Pop/Psych,30,28/08/2024,28/08/2024,1,1
Garage/Indie,31,4/9/2024,4/9/2024,1,1
Alt/Indie/Post,0,4/9/2024,11/9/2024,2,1
Barnburner/Indie/Pop,0,11/9/2024,18/09/2024,2,1
Dream/Psych,32,11/9/2024,11/9/2024,1,1
Indie/Punk,34,18/09/2024,25/09/2024,2,1
Alt/Beach,33,18/09/2024,18/09/2024,1,1
Alt/Post,0,25/09/2024,2/10/2024,2,1
Alt/Lofi,0,25/09/2024,25/09/2024,1,1
Country/Indie,0,2/10/2024,9/10/2024,2,1
Electronic,35,2/10/2024,2/10/2024,1,1
Alt/Psych,0,9/10/2024,16/10/2024,2,1
Lofi,36,9/10/2024,9/10/2024,1,1
Alt/Prog,37,16/10/2024,23/10/2024,2,1
Dream/Pop,0,16/10/2024,16/10/2024,1,1
Garage/Psych,38,23/10/2024,23/10/2024,1,1
Barnburner/Psych,41,23/10/2024,13/11/2024,4,1
Americana/Indie,0,30/10/2024,30/10/2024,1,1
Country/Pop,39,30/10/2024,30/10/2024,1,1
Dream/Indie/Pop,40,6/11/2024,6/11/2024,1,1
Pop/Post,0,6/11/2024,6/11/2024,1,1
Alt/Post/Rock,0,13/11/2024,27/11/2024,3,1
Beach/Indie/Rock,0,13/11/2024,13/11/2024,1,1
Indie/Lofi/Rock,0,20/11/2024,20/11/2024,1,1
Garage/Lofi/Rock,42,20/11/2024,20/11/2024,1,1
Alt/Americana,0,27/11/2024,11/12/2024,3,1
Indie/Punk/Rock,43,27/11/2024,27/11/2024,1,1
Dream/Pop/Rock,0,4/12/2024,4/12/2024,1,1
Pop/Post/Rock,44,4/12/2024,4/12/2024,1,1
Alt/Dream/Pop,45,11/12/2024,11/12/2024,1,1
Americana/Indie/Rock,0,11/12/2024,18/12/2024,2,1
Prog/Psych,0,18/12/2024,8/1/2025,2,1
Beach/Rock,46,18/12/2024,18/12/2024,1,1
Alt/Garage/Rock,48,8/1/2025,8/1/2025,1,1
Alt/Americana/Rock,0,8/1/2025,15/01/2025,2,1
Barnburner/Dream,49,15/01/2025,15/01/2025,1,1
Indie/Post/Rock,0,15/01/2025,22/01/2025,2,1
Prog/Rock,50,22/01/2025,22/01/2025,1,1
Alt/Punk/Rock,0,22/01/2025,5/2/2025,3,1
Alt/Country,0,29/01/2025,29/01/2025,1,1
Electronic/Indie,51,29/01/2025,29/01/2025,1,1
Alt/Lofi/Rock,52,5/2/2025,5/2/2025,1,1
Psych/Evening/Night,53,5/2/2025,12/2/2025,2,1
Alt/Barnburner/Indie,0,12/2/2025,12/2/2025,1,1
Alt/Indie/Afternoon/Evening,0,12/2/2025,19/02/2025,3,1
Americana/Rock,0,19/02/2025,19/02/2025,1,1
Post/Night,54,19/02/2025,19/02/2025,1,1
Alt/Barnburner/Rock,0,26/02/2025,5/3/2025,2,1
Pop/Rock/Evening,55,26/02/2025,26/02/2025,1,1
Alt/Evening/Night,56,5/3/2025,5/3/2025,1,1
Garage/Indie/Rock/Evening,58,12/3/2025,19/03/2025,2,1
Alt/Indie/Psych,59,19/03/2025,26/03/2025,2,1
Pop/Afternoon,0,19/03/2025,19/03/2025,1,1
Electronic/Pop,0,26/03/2025,26/03/2025,1,1
Post/Afternoon,0,26/03/2025,2/4/2025,2,1
Alt/Dream/Indie,60,2/4/2025,2/4/2025,1,1
Beach/Evening,63,2/4/2025,23/04/2025,4,1
Folk/Pop/Rock,61,9/4/2025,9/4/2025,1,1
Country/Evening,0,9/4/2025,9/4/2025,1,1
Punk/Rock,62,16/04/2025,16/04/2025,1,1
Americana/Afternoon,0,16/04/2025,16/04/2025,1,1
Lofi/Rock,0,23/04/2025,23/04/2025,1,1
Indie/Post/Evening,64,23/04/2025,30/04/2025,2,1
Garage/Rock,0,30/04/2025,14/05/2025,3,1
Barnburner/Afternoon/Evening,0,30/04/2025,30/04/2025,1,1
Alt/Indie/Evening/Night,65,7/5/2025,7/5/2025,1,1
Psych/Afternoon,66,14/05/2025,14/05/2025,1,1
Alt/Pop/Rock,0,21/05/2025,4/6/2025,3,1
Pop/Night,0,21/05/2025,21/05/2025,1,1
Post/Punk,0,28/05/2025,28/05/2025,1,1
Alt/Folk/Afternoon/Evening,68,28/05/2025,28/05/2025,1,1
Alt/Americana/Indie,70,4/6/2025,11/6/2025,2,1
Dream/Pop/Afternoon,69,4/6/2025,4/6/2025,1,1
Garage/Evening/Night,71,18/06/2025,18/06/2025,1,1
Dream/Psych/Night,72,25/06/2025,25/06/2025,1,1
Alt/Barnburner,67,14/05/2025,21/05/2025,2,2
Post/Rock,0,18/06/2025,18/06/2025,1,2
Alt/Dream,0,7/5/2025,7/5/2025,1,2
Alt/Folk/Rock,57,12/3/2025,12/3/2025,1,2
Alt/Pop/Rock,0,21/05/2025,4/6/2025,3,2
Dream/Indie,0,5/3/2025,12/3/2025,2,2
Folk/Pop/Rock,61,9/4/2025,9/4/2025,1,2
Country/Rock,0,11/6/2025,11/6/2025,1,2
Beach/Indie/Rock,0,25/06/2025,25/06/2025,1,2
Prog/Night,74,11/6/2025,9/7/2025,5,1
Folk/Pop,0,2/7/2025,2/7/2025,1,2
Alt/Rock/Afternoon/Evening,73,2/7/2025,2/7/2025,1,1
Punk/Evening,0,9/7/2025,16/07/2025,2,1
Indie/Pop/Rock,0,9/7/2025,9/7/2025,1,2
Indie/Post,77,16/07/2025,30/07/2025,3,2
Garage/Indie/Evening,75,16/07/2025,16/07/2025,1,1
Alt/Dream/Rock,76,23/07/2025,23/07/2025,1,1
Alt/Americana/Evening,0,23/07/2025,23/07/2025,1,1
Barnburner/Pop,0,30/07/2025,30/07/2025,1,2
Beach/Rock/Evening,78,30/07/2025,6/8/2025,2,1
Country/Indie,0,6/8/2025,6/8/2025,1,2
Psych/Afternoon/Evening,0,6/8/2025,13/08/2025,2,1
Alt/Folk,79,13/08/2025,13/08/2025,1,2
Alt/Pop/Rock/Afternoon/Evening,0,13/08/2025,20/08/2025,2,1
Garage/Psych/Rock,81,20/08/2025,27/08/2025,2,1
Americana/Rock/Afternoon,80,20/08/2025,20/08/2025,1,1
Alt/Pop,0,27/08/2025,27/08/2025,1,2
Dream/Afternoon,82,27/08/2025,3/9/2025,2,1
Alt/Lofi,0,3/9/2025,3/9/2025,1,2
Country/Rock/Evening,0,3/9/2025,10/9/2025,2,1
Barnburner,0,10/9/2025,17/09/2025,2,2
Punk/Night,83,10/9/2025,10/9/2025,1,1
Prog/Psych/Rock,84,17/09/2025,17/09/2025,1,1
Indie/Pop/Evening/Night,0,17/09/2025,1/10/2025,4,1
Alt/Post,85,24/09/2025,24/09/2025,1,2
Pop/Rock/Afternoon,0,24/09/2025,24/09/2025,1,1
Alt/Folk/Indie,0,1/10/2025,1/10/2025,1,2
Garage/Rock/Night,86,1/10/2025,1/10/2025,1,1
Alt/Indie/Lofi,87,8/10/2025,8/10/2025,1,1
Beach/Indie/Evening,0,8/10/2025,15/10/2025,2,1
